Country Name,Country Code,Year,Value
Canada,CAN,1990,22.6
Germany,DEU,1990,2.1
France,FRA,1990,10.5
United Kingdom,GBR,1990,0.7
Italy,ITA,1990,3.8
Japan,JPN,1990,4.3
United States,USA,1990,4.2
Canada,CAN,1991,22.7
Germany,DEU,1991,2.0
France,FRA,1991,11.1
United Kingdom,GBR,1991,0.6
Italy,ITA,1991,4.7
Japan,JPN,1991,4.5
United States,USA,1991,4.5
Canada,CAN,1992,22.4
Germany,DEU,1992,2.1
France,FRA,1992,11.3
United Kingdom,GBR,1992,0.8
Italy,ITA,1992,4.8
Japan,JPN,1992,4.0
United States,USA,1992,4.8
Canada,CAN,1993,22.3
Germany,DEU,1993,2.1
France,FRA,1993,10.9
United Kingdom,GBR,1993,0.8
Italy,ITA,1993,4.8
Japan,JPN,1993,4.2
United States,USA,1993,4.3
Canada,CAN,1994,22.2
Germany,DEU,1994,2.3
France,FRA,1994,11.0
United Kingdom,GBR,1994,1.0
Italy,ITA,1994,5.2
Japan,JPN,1994,3.3
United States,USA,1994,4.1
Canada,CAN,1995,22.4
Germany,DEU,1995,2.3
France,FRA,1995,10.7
United Kingdom,GBR,1995,1.1
Italy,ITA,1995,4.5
Japan,JPN,1995,3.7
United States,USA,1995,4.7
Canada,CAN,1996,22.1
Germany,DEU,1996,2.2
France,FRA,1996,10.5
United Kingdom,GBR,1996,0.9
Italy,ITA,1996,4.8
Japan,JPN,1996,3.6
United States,USA,1996,4.8
Canada,CAN,1997,21.8
Germany,DEU,1997,2.8
France,FRA,1997,10.0
United Kingdom,GBR,1997,1.0
Italy,ITA,1997,4.8
Japan,JPN,1997,3.8
United States,USA,1997,4.5
Canada,CAN,1998,22.0
Germany,DEU,1998,3.0
France,FRA,1998,9.7
United Kingdom,GBR,1998,1.0
Italy,ITA,1998,4.8
Japan,JPN,1998,3.8
United States,USA,1998,4.5
Canada,CAN,1999,22.2
Germany,DEU,1999,3.3
France,FRA,1999,9.8
United Kingdom,GBR,1999,0.9
Italy,ITA,1999,5.0
Japan,JPN,1999,3.7
United States,USA,1999,5.7
Canada,CAN,2000,20.3
Germany,DEU,2000,3.7
France,FRA,2000,9.3
United Kingdom,GBR,2000,1.0
Italy,ITA,2000,5.1
Japan,JPN,2000,3.7
United States,USA,2000,5.4
Canada,CAN,2001,19.8
Germany,DEU,2001,3.9
France,FRA,2001,9.4
United Kingdom,GBR,2001,0.8
Italy,ITA,2001,5.4
Japan,JPN,2001,3.5
United States,USA,2001,4.7
Canada,CAN,2002,20.1
Germany,DEU,2002,4.4
France,FRA,2002,8.7
United Kingdom,GBR,2002,1.0
Italy,ITA,2002,5.6
Japan,JPN,2002,3.7
United States,USA,2002,4.8
Canada,CAN,2003,19.7
Germany,DEU,2003,5.4
France,FRA,2003,8.8
United Kingdom,GBR,2003,0.9
Italy,ITA,2003,6.2
Japan,JPN,2003,4.2
United States,USA,2003,5.3
Canada,CAN,2004,20.4
Germany,DEU,2004,6.3
France,FRA,2004,8.9
United Kingdom,GBR,2004,1.1
Italy,ITA,2004,5.9
Japan,JPN,2004,4.3
United States,USA,2004,5.5
Canada,CAN,2005,21.6
Germany,DEU,2005,7.3
France,FRA,2005,8.6
United Kingdom,GBR,2005,1.4
Italy,ITA,2005,6.7
Japan,JPN,2005,4.0
United States,USA,2005,5.8
Canada,CAN,2006,21.5
Germany,DEU,2006,8.6
France,FRA,2006,8.5
United Kingdom,GBR,2006,1.6
Italy,ITA,2006,7.5
Japan,JPN,2006,4.4
United States,USA,2006,6.4
Canada,CAN,2007,21.6
Germany,DEU,2007,10.5
France,FRA,2007,9.4
United Kingdom,GBR,2007,1.8
Italy,ITA,2007,8.7
Japan,JPN,2007,4.3
United States,USA,2007,6.3
Canada,CAN,2008,21.6
Germany,DEU,2008,10.2
France,FRA,2008,10.5
United Kingdom,GBR,2008,2.4
Italy,ITA,2008,10.8
Japan,JPN,2008,4.4
United States,USA,2008,6.8
Canada,CAN,2009,22.2
Germany,DEU,2009,10.7
France,FRA,2009,11.2
United Kingdom,GBR,2009,3.0
Italy,ITA,2009,12.5
Japan,JPN,2009,4.5
United States,USA,2009,7.3
Canada,CAN,2010,21.4
Germany,DEU,2010,11.6
France,FRA,2010,11.9
United Kingdom,GBR,2010,3.2
Italy,ITA,2010,12.8
Japan,JPN,2010,4.7
United States,USA,2010,7.4
Canada,CAN,2011,21.5
Germany,DEU,2011,12.5
France,FRA,2011,10.6
United Kingdom,GBR,2011,4.0
Italy,ITA,2011,11.9
Japan,JPN,2011,4.8
United States,USA,2011,8.4
Canada,CAN,2012,21.8
Germany,DEU,2012,13.6
France,FRA,2012,12.3
United Kingdom,GBR,2012,4.2
Italy,ITA,2012,14.4
Japan,JPN,2012,4.7
United States,USA,2012,8.5
Canada,CAN,2013,22.2
Germany,DEU,2013,13.6
France,FRA,2013,13.4
United Kingdom,GBR,2013,5.2
Italy,ITA,2013,16.3
Japan,JPN,2013,5.0
United States,USA,2013,8.9
Canada,CAN,2014,22.2
Germany,DEU,2014,14.0
France,FRA,2014,13.2
United Kingdom,GBR,2014,6.6
Italy,ITA,2014,17.1
Japan,JPN,2014,5.6
United States,USA,2014,9.0
Canada,CAN,2015,22.3
Germany,DEU,2015,14.6
France,FRA,2015,13.3
United Kingdom,GBR,2015,7.7
Italy,ITA,2015,16.6
Japan,JPN,2015,6.2
United States,USA,2015,8.9
Canada,CAN,2016,22.1
Germany,DEU,2016,14.2
France,FRA,2016,14.2
United Kingdom,GBR,2016,7.7
Italy,ITA,2016,16.1
Japan,JPN,2016,6.4
United States,USA,2016,9.3
Canada,CAN,2017,22.8
Germany,DEU,2017,15.2
France,FRA,2017,14.1
United Kingdom,GBR,2017,8.8
Italy,ITA,2017,16.4
Japan,JPN,2017,6.9
United States,USA,2017,9.7
Canada,CAN,2018,22.3
Germany,DEU,2018,16.0
France,FRA,2018,15.2
United Kingdom,GBR,2018,10.2
Italy,ITA,2018,17.1
Japan,JPN,2018,7.3
United States,USA,2018,9.9
Canada,CAN,2019,22.4
Germany,DEU,2019,17.1
France,FRA,2019,15.5
United Kingdom,GBR,2019,11.4
Italy,ITA,2019,17.3
Japan,JPN,2019,7.8
United States,USA,2019,10.2
Canada,CAN,2020,23.9
Germany,DEU,2020,18.5
France,FRA,2020,16.8
United Kingdom,GBR,2020,13.6
Italy,ITA,2020,18.7
Japan,JPN,2020,8.5
United States,USA,2020,11.0
Canada,CAN,2021,23.8
Germany,DEU,2021,17.6
France,FRA,2021,16.2
United Kingdom,GBR,2021,12.2
Italy,ITA,2021,17.5
Japan,JPN,2021,8.8
United States,USA,2021,10.9
